ISE,Eff,Sett,Hinf_like,SpecAbs
0.08259175007788885,0.20373582220398803,1.47,0.3460436295564719,-1.3921109260296411
0.08564896907611351,0.2277569568869154,1.51,0.34707099758718385,-1.2096704075324674
0.08061274636967522,0.18124166240397038,1.34,0.3648450595174942,-1.3035845405043678
0.08516827570494773,0.23451901631335176,1.47,0.3527165507174217,-1.3505389513888457
0.082555730209295,0.17073708629781476,1.6300000000000001,0.324179719032629,-1.508601525427212
0.08369682114160697,0.2117038557489788,1.3800000000000001,0.3676646837076504,-1.2527879056634952
0.08088511694693482,0.19164782807382286,1.55,0.32145914863389324,-1.4278211494952457
0.08273964273006186,0.1801419581924772,1.32,0.3637130423318181,-1.7637924831703822
0.08230330200600257,0.21696175904424186,1.51,0.3355809320870813,-1.4611137106649115
0.08479011507554039,0.23137265853082803,1.49,0.3552199066396259,-1.3799375367038773
0.08412212914579215,0.17818287831481425,1.4000000000000001,0.36145925482705754,-1.7616378643395947
0.08319719176275665,0.198629960544056,1.47,0.34234392056023905,-1.422000106572764
0.0837858080533511,0.20697173843032596,1.51,0.3448161682617818,-1.3113717956308837
0.08259543217800483,0.2143780638771957,1.45,0.34733291011616896,-1.4121135459664154
0.08321166464299873,0.21177353714480998,1.52,0.3279660741855951,-1.5542915175416938
0.08364090342955298,0.19103121237002477,1.55,0.3241164031551725,-1.6872394763884173
0.0835908480352005,0.2184778589399612,1.47,0.3496892772348723,-1.5220427252931628
0.08075609796117765,0.1978101387900406,1.51,0.32763316652233376,-1.6709894171214716
0.0843642665864522,0.18804437035571686,1.55,0.33971624766692593,-1.3988536938690639
0.08383907324699796,0.21040705705213092,1.52,0.348347110047494,-1.4067150283459782
0.08594511567507532,0.24538949877593932,1.37,0.3747709274356009,-1.2428568612652335
0.08496432312169168,0.18941306653811482,1.56,0.3376281358607509,-1.5102857474518405
0.08394985807928367,0.20902316715165303,1.5,0.34676595936425414,-1.4202548702471924
0.08179321672649886,0.19532606014477222,1.56,0.3285012926029206,-1.5779335959666392
0.08641243153138231,0.21556964329827588,1.3900000000000001,0.3683329358814646,-1.5509576769341642
0.08005051608411894,0.18228052347395898,1.56,0.32522062548515474,-1.2911673871144682
0.08141890390469929,0.18667907645151624,1.5,0.3386012838244447,-1.4999274356434016
0.08399321776492936,0.17039283811999703,1.41,0.3595393563568929,-1.6572989255203696
